system:index,defo,elevation,rand,slope,treecover2000,.geo
0000000000000000045f,0,469,0.2786747089970597,1,84,"{""type"":""Point"",""coordinates"":[108.57506624675167,14.183499712598543]}"
00000000000000000255,0,685,0.6824117469637364,3,73,"{""type"":""Point"",""coordinates"":[108.54622924023903,14.285367876164512]}"
00000000000000000258,0,672,0.520381092998101,3,66,"{""type"":""Point"",""coordinates"":[108.42981102993566,14.22823341436671]}"
00000000000000000337,0,568,0.6873887825056485,3,33,"{""type"":""Point"",""coordinates"":[108.5599766487868,14.199940418182598]}"
00000000000000000247,0,807,0.004255621251412656,4,69,"{""type"":""Point"",""coordinates"":[108.32874996366037,14.410681993069504]}"
00000000000000000342,0,1065,0.6186637076447529,4,70,"{""type"":""Point"",""coordinates"":[108.52440194058242,14.515247912772809]}"
000000000000000003c4,0,905,0.6584404013995446,4,32,"{""type"":""Point"",""coordinates"":[108.47993578487744,14.339537035761776]}"
0000000000000000018d,0,575,0.3320955241318898,5,63,"{""type"":""Point"",""coordinates"":[108.4616088795478,14.29345222637441]}"
000000000000000001de,0,849,0.6623422138116435,5,37,"{""type"":""Point"",""coordinates"":[108.53140718833737,14.354626633726637]}"
00000000000000000251,0,500,0.21649186075413862,5,53,"{""type"":""Point"",""coordinates"":[108.53167919350163,14.200747515473271]}"
00000000000000000473,0,681,0.46590905028864127,5,99,"{""type"":""Point"",""coordinates"":[108.60875475521046,14.255456226298]}"
000000000000000004e7,0,879,0.6310599468975059,5,32,"{""type"":""Point"",""coordinates"":[108.52278328690002,14.398557697305185]}"
0000000000000000056e,0,661,0.32567044119087685,5,30,"{""type"":""Point"",""coordinates"":[108.48451528165936,14.228772965594178]}"
00000000000000000613,0,711,0.6169375769341553,5,60,"{""type"":""Point"",""coordinates"":[108.5252090378731,14.085131943359528]}"
000000000000000000da,0,654,0.005238852987389686,6,77,"{""type"":""Point"",""coordinates"":[108.47966823881426,14.217455767120535]}"
000000000000000000e3,0,504,0.3844600396079372,6,40,"{""type"":""Point"",""coordinates"":[108.59123494717147,14.045789294764973]}"
0000000000000000029b,0,842,0.31923397099156814,6,99,"{""type"":""Point"",""coordinates"":[108.6313936112588,14.34330943525299]}"
000000000000000002d1,0,519,0.6195928145759285,6,70,"{""type"":""Point"",""coordinates"":[108.53248629079232,14.145499253421079]}"
000000000000000005d9,0,538,0.37532538469052623,6,33,"{""type"":""Point"",""coordinates"":[108.50041643601593,14.15062276053149]}"
00000000000000000261,0,975,0.400956839102798,7,84,"{""type"":""Point"",""coordinates"":[108.43493007794503,14.39720658968599]}"
00000000000000000345,0,746,0.6414244266806735,7,60,"{""type"":""Point"",""coordinates"":[108.58180394844344,14.293724231538672]}"
000000000000000005f2,0,735,0.5356759559041193,7,64,"{""type"":""Point"",""coordinates"":[108.33494811412467,14.457306353684338]}"
00000000000000000361,0,472,0.07617941827580355,8,33,"{""type"":""Point"",""coordinates"":[108.58665545038957,14.119360003045779]}"
00000000000000000482,0,849,0.7855749017754674,8,99,"{""type"":""Point"",""coordinates"":[108.59123494717147,14.360017686900251]}"
0000000000000000006a,0,655,0.4177086395235492,9,70,"{""type"":""Point"",""coordinates"":[108.66022615867037,14.154395160022702]}"
000000000000000000c0,0,519,0.6131760408613921,9,66,"{""type"":""Point"",""coordinates"":[108.53545159299286,14.181341507688677]}"
0000000000000000023e,0,563,0.4271854673099651,9,33,"{""type"":""Point"",""coordinates"":[108.55781844387694,14.141459307866656]}"
00000000000000000257,0,756,0.4184371507044381,9,60,"{""type"":""Point"",""coordinates"":[108.61710665148355,14.283749222482115]}"
00000000000000000386,0,849,0.33330604013475407,10,37,"{""type"":""Point"",""coordinates"":[108.56482815073296,14.4300880008541]}"
0000000000000000040f,0,806,0.06738055249807962,11,48,"{""type"":""Point"",""coordinates"":[108.47966823881426,14.281863022736507]}"
00000000000000000340,0,537,0.24127747740997607,12,64,"{""type"":""Point"",""coordinates"":[108.52628814032803,14.14388505883973]}"
00000000000000000455,0,623,0.7649979092118655,13,73,"{""type"":""Point"",""coordinates"":[108.49421828555164,14.046324386891385]}"
000000000000000004b3,0,978,0.06722662523495448,13,31,"{""type"":""Point"",""coordinates"":[108.47346562924889,14.0695027941672]}"
00000000000000000047,0,666,0.6296326301587121,14,99,"{""type"":""Point"",""coordinates"":[108.5564717953588,14.225000566102965]}"
00000000000000000053,0,855,0.38924024344426544,14,99,"{""type"":""Point"",""coordinates"":[108.38857772249446,14.190504960353508]}"
000000000000000001a6,0,897,0.32781027848474265,14,43,"{""type"":""Point"",""coordinates"":[108.32605220752305,14.361364335418392]}"
00000000000000000403,0,559,0.7510473126460979,15,70,"{""type"":""Point"",""coordinates"":[108.56725390170602,14.133642503719964]}"
00000000000000000233,0,885,0.6420792645320963,17,66,"{""type"":""Point"",""coordinates"":[108.53491204176538,14.358131487154644]}"
0000000000000000009c,0,705,0.5138932792154468,18,61,"{""type"":""Point"",""coordinates"":[108.52089708715441,14.05872514692102]}"
000000000000000004a1,0,977,0.6886678742446786,20,40,"{""type"":""Point"",""coordinates"":[108.44517263306479,14.439786545645344]}"
00000000000000000577,0,903,0.007207487167137594,20,64,"{""type"":""Point"",""coordinates"":[108.44004912595437,14.360824784190923]}"
0000000000000000011a,0,748,0.21084109687446173,21,53,"{""type"":""Point"",""coordinates"":[108.60282415080935,14.29938283077549]}"
000000000000000004d8,0,916,0.2950640617702126,21,73,"{""type"":""Point"",""coordinates"":[108.51146608842637,14.056566942011154]}"
00000000000000000113,0,1000,0.05437959468774389,23,31,"{""type"":""Point"",""coordinates"":[108.48182198462307,14.129063006938077]}"
00000000000000000524,0,678,0.7085111257067921,26,34,"{""type"":""Point"",""coordinates"":[108.49529738800656,14.273778672526612]}"
00000000000000000596,0,1275,0.2955399943863284,29,93,"{""type"":""Point"",""coordinates"":[108.32443801294168,14.268120073289785]}"
000000000000000004df,0,785,0.4220306486236187,32,73,"{""type"":""Point"",""coordinates"":[108.4769704826769,14.168138109469421]}"
0000000000000000052b,0,756,0.7517420130157252,36,99,"{""type"":""Point"",""coordinates"":[108.49125298335109,14.13849400566611]}"
0000000000000000053c,0,914,0.4728291123698709,37,63,"{""type"":""Point"",""coordinates"":[108.48208953068627,14.053873644974873]}"
000000000000000004c1,0,822,0.405728151987781,38,77,"{""type"":""Point"",""coordinates"":[108.42899947354395,14.278902179637019]}"
00000000000000000484,0,510,0.5385552736761023,1,44,"{""type"":""Point"",""coordinates"":[108.51200563965384,14.22688676584857]}"
0000000000000000048f,0,769,0.4906939969215396,3,45,"{""type"":""Point"",""coordinates"":[108.51173809359062,14.340076586989245]}"
000000000000000001d5,0,535,0.486530074592034,5,45,"{""type"":""Point"",""coordinates"":[108.49718358775219,14.282402573963973]}"
00000000000000000493,0,1216,0.23707059699852517,5,45,"{""type"":""Point"",""coordinates"":[108.39692961876754,14.540847611920642]}"
00000000000000000216,0,1102,0.23306131007131592,6,45,"{""type"":""Point"",""coordinates"":[108.42819237625326,14.506352006171179]}"
000000000000000003ac,0,879,0.23052470556887206,6,45,"{""type"":""Point"",""coordinates"":[108.5324862907923,14.384542742694203]}"
0000000000000000007c,0,959,0.7436813999870658,10,45,"{""type"":""Point"",""coordinates"":[108.46457418174832,14.412028641587646]}"
0000000000000000002d,0,784,0.4137283588619586,11,45,"{""type"":""Point"",""coordinates"":[108.46268798200272,14.251144275579314]}"
0000000000000000010a,0,702,0.06010545011578061,11,45,"{""type"":""Point"",""coordinates"":[108.60282415080935,14.295877977347486]}"
00000000000000000146,0,582,0.2854828886136791,11,45,"{""type"":""Point"",""coordinates"":[108.49071343212363,14.15142985782216]}"
000000000000000001ee,0,668,0.6891537247776195,14,45,"{""type"":""Point"",""coordinates"":[108.53787734396592,14.128791001773816]}"
0000000000000000041a,0,582,0.21548415763064088,15,45,"{""type"":""Point"",""coordinates"":[108.47804958513184,14.293991777601876]}"
000000000000000005ba,0,556,0.5582635603497297,15,45,"{""type"":""Point"",""coordinates"":[108.52763478884617,14.163019061460068]}"
00000000000000000201,0,647,0.32579782888550146,29,45,"{""type"":""Point"",""coordinates"":[108.48532683805107,14.298843279548027]}"
0000000000000000031c,0,1009,0.34437002399251526,36,45,"{""type"":""Point"",""coordinates"":[108.44463308183731,14.440058550809605]}"
00000000000000000117,0,583,0.7572982726115153,9,47,"{""type"":""Point"",""coordinates"":[108.49745113381537,14.136068254693038]}"
00000000000000000221,0,1012,0.344693254766674,22,47,"{""type"":""Point"",""coordinates"":[108.40879082756973,14.400711443113998]}"
0000000000000000064d,0,619,0.28629053572823415,27,47,"{""type"":""Point"",""coordinates"":[108.50688659164447,14.288333178365056]}"
00000000000000000271,0,724,0.3980074349423769,4,49,"{""type"":""Point"",""coordinates"":[108.4715794295033,14.196975115982058]}"
000000000000000003d9,0,889,0.2180462878484859,7,49,"{""type"":""Point"",""coordinates"":[108.48182198462307,14.341690781570591]}"
000000000000000003c3,0,581,0.08937096969273706,13,49,"{""type"":""Point"",""coordinates"":[108.55323894709505,14.082438646323247]}"
000000000000000002c3,0,777,0.05109668940133838,16,49,"{""type"":""Point"",""coordinates"":[108.4696932297577,14.236857315804079]}"
00000000000000000466,0,603,0.04162008902341374,3,51,"{""type"":""Point"",""coordinates"":[108.5190108874088,14.248178973378776]}"
