system:index,defo,elevation,rand,slope,treecover2000,.geo
0,0,1333,0.6237533568138378,28,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.3839955626118,14.402867792615545]}"
1,0,1153,0.2555607954724173,7,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.38830747597558,14.454610752980834]}"
2,0,920,0.7370170788060728,17,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.33521704268412,14.345734940545547]}"
3,0,1058,0.1942456641712248,5,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48828996709807,14.473205879362105]}"
4,0,1551,0.12555553228363803,8,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.37914466007754,14.294530969350731]}"
5,0,952,0.2473164581289342,17,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.55647209716273,14.567528984194652]}"
8,0,1044,0.1236507799245048,18,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.46053202481875,14.445986926253283]}"
10,0,812,0.2563406988348701,10,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.59393184451051,14.341692521767008]}"
12,0,526,0.3642911544218108,6,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.50095621260414,14.255723749076772]}"
13,0,721,0.7338472884377093,4,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.53410404658814,14.262461113707666]}"
14,0,816,0.101625228290666,13,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.61198798172131,14.478865265652061]}"
15,0,723,0.33224376684819334,26,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.51766487688877,14.103189813833275]}"
16,0,733,0.595475901287922,9,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.41175350489107,14.218802990899455]}"
17,0,850,0.49417594043778823,20,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.46295747608588,14.177839813943606]}"
18,0,725,0.5545956666209308,13,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.63246957019925,14.249525373616343]}"
19,0,887,0.3030323463122242,29,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.47508473242152,14.245213460252572]}"
20,0,1016,0.7950346041542684,7,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.54703978667948,14.512282594221304]}"
21,0,738,0.5141633095247656,15,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.64055440775633,14.235242160598844]}"
22,0,993,0.49448808245423603,8,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.56779086974262,14.521445410119327]}"
23,0,1013,0.18060462417791456,11,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.53194808990628,14.31285660114677]}"
24,0,828,0.19919343510224874,5,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48343906456381,14.281864723844649]}"
26,0,572,0.18796398841381323,19,87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.51901234981494,14.175144868091245]}"
27,0,759,0.20168495499423,8,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.3376424939512,14.444100464156634]}"
28,0,782,0.5070866319762681,22,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.53410404658814,14.12690533733403]}"
29,0,1478,0.2576588798119194,21,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.36540043623052,14.369180969461063]}"
30,0,933,0.05647409658001057,12,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.54299736790097,14.437363099525733]}"
32,0,1028,0.14690179155483263,4,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.46753888403492,14.411222124757856]}"
33,0,1230,0.6020364668454982,11,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.44517083346034,14.548394868642909]}"
34,0,870,0.09614333309272949,13,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.47050332447247,14.255454254491532]}"
35,0,892,0.21035314361901536,11,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.59177588782865,14.51955894802267]}"
37,0,913,0.6966340033424363,6,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.57075531018023,14.56321707083088]}"
38,0,1045,0.5146807567035093,21,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48290007539333,14.491262016572911]}"
39,0,1206,0.022004584362736668,36,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.31015404625714,14.421193424411584]}"
40,0,1132,0.27165650389775875,12,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.43924195258512,14.513360572562249]}"
41,0,1172,0.026791680661917727,23,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.41444845074346,14.514977540073666]}"
42,0,835,0.08976854100196674,14,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.43034863127235,14.336302630062292]}"
43,0,1052,0.38398877354728644,25,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.42226379371527,14.404484760126962]}"
44,0,983,0.19300631085624953,9,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48101361329668,14.410413641002151]}"
45,0,707,0.18258073013748144,3,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.62761866766499,14.199938369932944]}"
46,0,975,0.4914314514998903,34,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.4691558515463,14.139841077425352]}"
47,0,930,0.4435428617955699,12,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52467173610489,14.308275193197758]}"
48,0,990,0.42296612047380666,15,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.54973473253182,14.317976998266253]}"
51,0,1074,0.6396315882622261,22,87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.47724068910338,14.120706961873601]}"
52,0,918,0.382496034151667,10,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.56401794554932,14.459192160929838]}"
53,0,1137,0.6152946308991014,9,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.3839955626118,14.4408665291338]}"
55,0,784,0.4137283588619586,11,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.46268798150066,14.25114234112776]}"
56,0,1107,0.36041756833684013,19,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.4688863569611,14.520097937193142]}"
57,0,568,0.46612942300873594,14,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.56779086974262,14.12879179943068]}"
58,0,963,0.011245575902765426,29,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.5163174039626,14.297764904373565]}"
59,0,789,0.5085333965428428,4,100,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.56320946179363,14.316629525340069]}"
61,0,801,0.179194847074732,8,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.44867426306837,14.246021944008277]}"
62,0,1058,0.5824073674481655,7,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.43304357712469,14.412839092269273]}"
63,0,1122,0.669043602693738,34,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.34491884775258,14.30261580690781]}"
64,0,1066,0.07736200411779515,32,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.49017642919472,14.482099200674888]}"
65,0,712,0.15748619845260192,9,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.63085260268781,14.249794868201583]}"
67,0,1032,0.033965108707768366,9,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52871415488346,14.527104796409276]}"
68,0,1001,0.5447097766613128,16,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48936794543903,14.106693243441342]}"
69,0,1251,0.22149087415776425,8,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.3839955626118,14.572649381314136]}"
70,0,902,0.740406292898647,21,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.33818148312167,14.406640716808852]}"
71,0,1128,0.38079641715954793,8,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.42307227747096,14.47024143892451]}"
72,0,902,0.22423790499413743,12,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.42630621249384,14.308005698612526]}"
73,0,1045,0.015968381879667093,8,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.4936798588028,14.093488008764787]}"
74,0,1277,0.08156024774426929,36,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.33198310766124,14.271354435020449]}"
75,0,1477,0.40803287416277045,26,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.36135801745195,14.266234037900965]}"
76,0,1471,0.11453901076166151,18,92,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.35057823404253,14.231738730990777]}"
77,0,1059,0.6382701743847043,12,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.48990693460945,14.470780428094983]}"
78,0,517,0.3728755928346953,5,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.52979213322436,14.198321402421534]}"
79,0,1052,0.7268817463791596,4,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.42522823415288,14.455419236736539]}"
80,0,1213,0.5900712439099568,31,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.41390946157298,14.299112377299743]}"
81,0,929,0.7677596239887268,7,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.51604790937733,14.477787287311116]}"
82,0,849,0.15749298742084172,3,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.61333545464748,14.326870319579037]}"
83,0,666,0.6296326301587121,14,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.55647209716273,14.225001366359884]}"
86,0,1147,0.22095136507899904,30,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.41067552655011,14.167060030534174]}"
87,0,927,0.7394631138177373,10,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.59258437158434,14.54057952567107]}"
89,0,822,0.471202500717935,13,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.60956253045418,14.322827900800498]}"
90,0,649,0.20077625559784273,11,87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.54030242204857,14.224731871774644]}"
91,0,792,0.20782780771409048,28,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.49233238587658,14.316360030754836]}"
93,0,1039,0.31913217710727637,6,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.56320946179363,14.49692140286286]}"
96,0,1112,0.3426541625858355,13,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[108.43735549048847,14.480482233163471]}"
