system:index,defo,elevation,rand,slope,treecover2000,.geo,lon,lat,dist_to_nearest_road_m,gfw_integrated_alert_b1,gfw_integrated_alert_present,district,split,label_std,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label
0000000000000000045f,0.0,469.0,0.2786747089970597,1.0,84.0,"{""type"":""Point"",""coordinates"":[108.57506624675167,14.183499712598543]}",108.57506624675167,14.183499712598543,639.9368668563245,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000255,0.0,685.0,0.6824117469637364,3.0,73.0,"{""type"":""Point"",""coordinates"":[108.54622924023903,14.285367876164512]}",108.54622924023904,14.285367876164512,4822.323781481283,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000258,0.0,672.0,0.520381092998101,3.0,66.0,"{""type"":""Point"",""coordinates"":[108.42981102993566,14.22823341436671]}",108.42981102993566,14.22823341436671,698.2629836007826,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000337,0.0,568.0,0.6873887825056485,3.0,33.0,"{""type"":""Point"",""coordinates"":[108.5599766487868,14.199940418182598]}",108.5599766487868,14.199940418182598,229.0821132658448,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000247,0.0,807.0,0.0042556212514126,4.0,69.0,"{""type"":""Point"",""coordinates"":[108.32874996366037,14.410681993069504]}",108.32874996366036,14.410681993069504,866.5551660270747,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000342,0.0,1065.0,0.6186637076447529,4.0,70.0,"{""type"":""Point"",""coordinates"":[108.52440194058242,14.515247912772809]}",108.52440194058242,14.515247912772807,2739.385182822622,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000003c4,0.0,905.0,0.6584404013995446,4.0,32.0,"{""type"":""Point"",""coordinates"":[108.47993578487744,14.339537035761776]}",108.47993578487744,14.339537035761776,72.50675106722677,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000018d,0.0,575.0,0.3320955241318898,5.0,63.0,"{""type"":""Point"",""coordinates"":[108.4616088795478,14.29345222637441]}",108.4616088795478,14.29345222637441,16.094415190261287,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000001de,0.0,849.0,0.6623422138116435,5.0,37.0,"{""type"":""Point"",""coordinates"":[108.53140718833737,14.354626633726637]}",108.53140718833735,14.354626633726635,57.11300748002246,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000251,0.0,500.0,0.2164918607541386,5.0,53.0,"{""type"":""Point"",""coordinates"":[108.53167919350163,14.200747515473271]}",108.53167919350165,14.200747515473273,1368.1646778233114,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000473,0.0,681.0,0.4659090502886412,5.0,99.0,"{""type"":""Point"",""coordinates"":[108.60875475521046,14.255456226298]}",108.60875475521046,14.255456226298,415.93273477925743,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000004e7,0.0,879.0,0.6310599468975059,5.0,32.0,"{""type"":""Point"",""coordinates"":[108.52278328690002,14.398557697305185]}",108.52278328690002,14.398557697305185,1912.1116517442624,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000056e,0.0,661.0,0.3256704411908768,5.0,30.0,"{""type"":""Point"",""coordinates"":[108.48451528165936,14.228772965594178]}",108.48451528165936,14.228772965594178,20.9181746448324,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000613,0.0,711.0,0.6169375769341553,5.0,60.0,"{""type"":""Point"",""coordinates"":[108.5252090378731,14.085131943359528]}",108.5252090378731,14.085131943359528,980.1003940078696,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000000da,0.0,654.0,0.0052388529873896,6.0,77.0,"{""type"":""Point"",""coordinates"":[108.47966823881426,14.217455767120535]}",108.47966823881426,14.217455767120535,140.76747257111617,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000000e3,0.0,504.0,0.3844600396079372,6.0,40.0,"{""type"":""Point"",""coordinates"":[108.59123494717147,14.045789294764973]}",108.59123494717149,14.045789294764973,374.9135566563359,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000029b,0.0,842.0,0.3192339709915681,6.0,99.0,"{""type"":""Point"",""coordinates"":[108.6313936112588,14.34330943525299]}",108.6313936112588,14.34330943525299,3366.3634848167835,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000002d1,0.0,519.0,0.6195928145759285,6.0,70.0,"{""type"":""Point"",""coordinates"":[108.53248629079232,14.145499253421079]}",108.53248629079232,14.14549925342108,160.2504323023089,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000005d9,0.0,538.0,0.3753253846905262,6.0,33.0,"{""type"":""Point"",""coordinates"":[108.50041643601593,14.15062276053149]}",108.50041643601593,14.15062276053149,138.8258553011156,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000261,0.0,975.0,0.400956839102798,7.0,84.0,"{""type"":""Point"",""coordinates"":[108.43493007794503,14.39720658968599]}",108.43493007794504,14.39720658968599,312.6297933833425,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000345,0.0,746.0,0.6414244266806735,7.0,60.0,"{""type"":""Point"",""coordinates"":[108.58180394844344,14.293724231538672]}",108.58180394844344,14.293724231538672,352.7269192899733,0.0,0,KBang,train,0,,,,,,,,,,
000000000000000005f2,0.0,735.0,0.5356759559041193,7.0,64.0,"{""type"":""Point"",""coordinates"":[108.33494811412467,14.457306353684338]}",108.33494811412469,14.457306353684338,3929.247505968104,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000361,0.0,472.0,0.0761794182758035,8.0,33.0,"{""type"":""Point"",""coordinates"":[108.58665545038957,14.119360003045779]}",108.58665545038956,14.11936000304578,241.7330325284186,0.0,0,KBang,train,0,,,,,,,,,,
00000000000000000482,0.0,849.0,0.7855749017754674,8.0,99.0,"{""type"":""Point"",""coordinates"":[108.59123494717147,14.360017686900251]}",108.59123494717149,14.360017686900251,135.81413575189856,0.0,0,KBang,train,0,,,,,,,,,,
0000000000000000006a,0.0,655.0,0.4177086395235492,9.0,70.0,"{""type"":""Point"",""coordinates"":[108.66022615867037,14.154395160022702]}",108.66022615867035,14.154395160022702,696.5423885756148,0.0,0,KBang,train,0,,,,,,,,,,
