system:index,defo,elevation,rand,slope,treecover2000,.geo,lon,lat,dist_to_nearest_road_m
0000000000000000045f,0,469,0.2786747089970597,1,84,"{""type"":""Point"",""coordinates"":[108.57506624675167,14.183499712598543]}",108.57506624675167,14.183499712598543,639.9368668563245
00000000000000000255,0,685,0.6824117469637364,3,73,"{""type"":""Point"",""coordinates"":[108.54622924023903,14.285367876164512]}",108.54622924023903,14.285367876164512,4822.323781481283
00000000000000000258,0,672,0.520381092998101,3,66,"{""type"":""Point"",""coordinates"":[108.42981102993566,14.22823341436671]}",108.42981102993566,14.22823341436671,698.2629836007826
00000000000000000337,0,568,0.6873887825056485,3,33,"{""type"":""Point"",""coordinates"":[108.5599766487868,14.199940418182598]}",108.5599766487868,14.199940418182598,229.0821132658448
00000000000000000247,0,807,0.0042556212514126,4,69,"{""type"":""Point"",""coordinates"":[108.32874996366037,14.410681993069504]}",108.32874996366037,14.410681993069504,866.5551660270747
00000000000000000342,0,1065,0.6186637076447529,4,70,"{""type"":""Point"",""coordinates"":[108.52440194058242,14.515247912772809]}",108.52440194058242,14.515247912772809,2739.385182822622
000000000000000003c4,0,905,0.6584404013995446,4,32,"{""type"":""Point"",""coordinates"":[108.47993578487744,14.339537035761776]}",108.47993578487744,14.339537035761776,72.50675106722677
0000000000000000018d,0,575,0.3320955241318898,5,63,"{""type"":""Point"",""coordinates"":[108.4616088795478,14.29345222637441]}",108.4616088795478,14.29345222637441,16.094415190261287
000000000000000001de,0,849,0.6623422138116435,5,37,"{""type"":""Point"",""coordinates"":[108.53140718833737,14.354626633726637]}",108.53140718833737,14.354626633726637,57.11300748002246
00000000000000000251,0,500,0.2164918607541386,5,53,"{""type"":""Point"",""coordinates"":[108.53167919350163,14.200747515473271]}",108.53167919350163,14.200747515473271,1368.1646778233114
00000000000000000473,0,681,0.4659090502886412,5,99,"{""type"":""Point"",""coordinates"":[108.60875475521046,14.255456226298]}",108.60875475521046,14.255456226298,415.93273477925743
000000000000000004e7,0,879,0.6310599468975059,5,32,"{""type"":""Point"",""coordinates"":[108.52278328690002,14.398557697305185]}",108.52278328690002,14.398557697305185,1912.1116517442622
0000000000000000056e,0,661,0.3256704411908768,5,30,"{""type"":""Point"",""coordinates"":[108.48451528165936,14.228772965594178]}",108.48451528165936,14.228772965594178,20.918174644832398
00000000000000000613,0,711,0.6169375769341553,5,60,"{""type"":""Point"",""coordinates"":[108.5252090378731,14.085131943359528]}",108.5252090378731,14.085131943359528,980.1003940078696
000000000000000000da,0,654,0.0052388529873896,6,77,"{""type"":""Point"",""coordinates"":[108.47966823881426,14.217455767120535]}",108.47966823881426,14.217455767120535,140.76747257111617
000000000000000000e3,0,504,0.3844600396079372,6,40,"{""type"":""Point"",""coordinates"":[108.59123494717147,14.045789294764973]}",108.59123494717147,14.045789294764973,374.9135566563359
0000000000000000029b,0,842,0.3192339709915681,6,99,"{""type"":""Point"",""coordinates"":[108.6313936112588,14.34330943525299]}",108.6313936112588,14.34330943525299,3366.3634848167835
000000000000000002d1,0,519,0.6195928145759285,6,70,"{""type"":""Point"",""coordinates"":[108.53248629079232,14.145499253421079]}",108.53248629079232,14.145499253421079,160.2504323023089
000000000000000005d9,0,538,0.3753253846905262,6,33,"{""type"":""Point"",""coordinates"":[108.50041643601593,14.15062276053149]}",108.50041643601593,14.15062276053149,138.8258553011156
00000000000000000261,0,975,0.400956839102798,7,84,"{""type"":""Point"",""coordinates"":[108.43493007794503,14.39720658968599]}",108.43493007794503,14.39720658968599,312.6297933833425
00000000000000000345,0,746,0.6414244266806735,7,60,"{""type"":""Point"",""coordinates"":[108.58180394844344,14.293724231538672]}",108.58180394844344,14.293724231538672,352.72691928997335
000000000000000005f2,0,735,0.5356759559041193,7,64,"{""type"":""Point"",""coordinates"":[108.33494811412467,14.457306353684338]}",108.33494811412467,14.457306353684338,3929.247505968104
00000000000000000361,0,472,0.0761794182758035,8,33,"{""type"":""Point"",""coordinates"":[108.58665545038957,14.119360003045779]}",108.58665545038957,14.119360003045779,241.7330325284186
00000000000000000482,0,849,0.7855749017754674,8,99,"{""type"":""Point"",""coordinates"":[108.59123494717147,14.360017686900251]}",108.59123494717147,14.360017686900251,135.81413575189856
0000000000000000006a,0,655,0.4177086395235492,9,70,"{""type"":""Point"",""coordinates"":[108.66022615867037,14.154395160022702]}",108.66022615867037,14.154395160022702,696.5423885756148
000000000000000000c0,0,519,0.6131760408613921,9,66,"{""type"":""Point"",""coordinates"":[108.53545159299286,14.181341507688677]}",108.53545159299286,14.181341507688677,767.3992159033312
0000000000000000023e,0,563,0.4271854673099651,9,33,"{""type"":""Point"",""coordinates"":[108.55781844387694,14.141459307866656]}",108.55781844387694,14.141459307866656,213.47375368048213
00000000000000000257,0,756,0.4184371507044381,9,60,"{""type"":""Point"",""coordinates"":[108.61710665148355,14.283749222482115]}",108.61710665148355,14.283749222482115,485.72397696383746
00000000000000000386,0,849,0.333306040134754,10,37,"{""type"":""Point"",""coordinates"":[108.56482815073296,14.4300880008541]}",108.56482815073296,14.4300880008541,277.4035391710117
0000000000000000040f,0,806,0.0673805524980796,11,48,"{""type"":""Point"",""coordinates"":[108.47966823881426,14.281863022736507]}",108.47966823881426,14.281863022736507,1994.2067932017646
00000000000000000340,0,537,0.241277477409976,12,64,"{""type"":""Point"",""coordinates"":[108.52628814032803,14.14388505883973]}",108.52628814032803,14.14388505883973,676.0833995502969
00000000000000000455,0,623,0.7649979092118655,13,73,"{""type"":""Point"",""coordinates"":[108.49421828555164,14.046324386891385]}",108.49421828555164,14.046324386891385,929.2769077951992
000000000000000004b3,0,978,0.0672266252349544,13,31,"{""type"":""Point"",""coordinates"":[108.47346562924889,14.0695027941672]}",108.47346562924889,14.0695027941672,3875.785605822196
00000000000000000047,0,666,0.6296326301587121,14,99,"{""type"":""Point"",""coordinates"":[108.5564717953588,14.225000566102965]}",108.5564717953588,14.225000566102965,131.35854383808922
00000000000000000053,0,855,0.3892402434442654,14,99,"{""type"":""Point"",""coordinates"":[108.38857772249446,14.190504960353508]}",108.38857772249446,14.190504960353508,6495.555490917241
000000000000000001a6,0,897,0.3278102784847426,14,43,"{""type"":""Point"",""coordinates"":[108.32605220752305,14.361364335418392]}",108.32605220752305,14.361364335418392,780.0706238166753
