system:index,defo,district,elevation,label_std,label_test_period,label_train_period,lat,lon,loss_any_2001_2024,loss_first_year,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,rand,slope,split,treecover2000,.geo,B11,B12,B2,B3,B4,B8,NBR,NDVI,elev,label
0000000000000000045f_0,0.0,KBang,469.0,0,0,0,14.183499712598543,108.57506624675166,0,0,469,1.3322111,2894.3183166086674,2468.456626371072,0.2786747089970597,1.0,train,84,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000255_0,0.0,KBang,685.0,0,0,0,14.285367876164512,108.54622924023904,0,0,686,1.3325211,3283.608837634325,2704.4453318488963,0.6824117469637364,3.0,train,73,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000258_0,0.0,KBang,672.0,0,0,1,14.22823341436671,108.42981102993566,1,2014,672,2.939815,3484.5955844521523,2837.824403122823,0.520381092998101,3.0,train,66,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000337_0,0.0,KBang,568.0,0,0,0,14.199940418182598,108.5599766487868,0,0,574,11.349603,2988.904823511839,2527.354326276477,0.6873887825056485,3.0,train,33,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000247_0,0.0,KBang,807.0,0,0,0,14.4106819930695,108.32874996366036,0,0,806,4.167796,3774.6228857189417,2999.919869753144,0.0042556212514126,4.0,train,69,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000342_0,0.0,KBang,1065.0,0,0,0,14.515247912772804,108.52440194058242,0,0,1067,3.993927,3063.1103956103325,2477.7017693946955,0.6186637076447529,4.0,train,70,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000003c4_0,0.0,KBang,905.0,0,0,0,14.339537035761776,108.47993578487744,0,0,904,4.8638983,3410.552547223866,2766.438409104254,0.6584404013995446,4.0,train,32,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000018d_0,0.0,KBang,575.0,0,0,1,14.29345222637441,108.4616088795478,1,2009,574,8.291047,3299.3934005498886,2718.926994363391,0.3320955241318898,5.0,train,63,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000001de_0,0.0,KBang,849.0,0,0,0,14.354626633726635,108.53140718833735,0,0,849,5.3165812,3057.4028005301952,2452.323266195249,0.6623422138116435,5.0,train,37,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000251_0,0.0,KBang,500.0,0,0,0,14.200747515473273,108.53167919350165,0,0,500,5.1170545,3132.6109425723557,2663.5936415282367,0.2164918607541386,5.0,train,53,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000473_0,0.0,KBang,681.0,0,0,1,14.255456226298,108.60875475521046,1,2012,681,4.6805897,2920.2753743231297,2494.9070353260336,0.4659090502886412,5.0,train,99,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000004e7_0,0.0,KBang,879.0,0,0,0,14.398557697305185,108.52278328690002,0,0,879,4.7235246,3057.4028005301952,2452.323266195249,0.6310599468975059,5.0,train,32,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000056e_0,0.0,KBang,661.0,0,0,0,14.228772965594178,108.48451528165936,0,0,661,4.6273675,3116.021737858653,2587.275775269555,0.3256704411908768,5.0,train,30,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000613_0,0.0,KBang,711.0,0,0,0,14.085131943359528,108.5252090378731,0,0,715,6.007746,3250.9848297685385,2783.4902848679035,0.6169375769341553,5.0,train,60,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000000da_0,0.0,KBang,654.0,0,0,0,14.217455767120535,108.47966823881426,0,0,658,3.8215122,3116.021737858653,2587.275775269555,0.0052388529873896,6.0,train,77,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000000e3_0,0.0,KBang,504.0,0,0,1,14.045789294764973,108.59123494717146,1,2001,504,5.717402,2340.994156158529,2080.859696369998,0.3844600396079372,6.0,train,40,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000029b_0,0.0,KBang,842.0,0,0,0,14.34330943525299,108.6313936112588,0,0,842,6.237587,2904.3306356593966,2447.77248901683,0.3192339709915681,6.0,train,99,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000002d1_0,0.0,KBang,519.0,0,0,1,14.14549925342108,108.53248629079232,1,2003,518,6.737178,3335.206618718803,2843.7770705979806,0.6195928145759285,6.0,train,70,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000005d9_0,0.0,KBang,538.0,0,0,0,14.15062276053149,108.50041643601593,0,0,537,2.6627855,2927.8332602009177,2497.137565198986,0.3753253846905262,6.0,train,33,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000261_0,0.0,KBang,975.0,0,0,0,14.39720658968599,108.43493007794504,0,0,976,2.8702855,3307.1987401247025,2646.067406310553,0.400956839102798,7.0,train,84,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000345_0,0.0,KBang,746.0,0,0,1,14.293724231538672,108.58180394844344,1,2001,737,21.30282,3002.574410483241,2569.066161002828,0.6414244266806735,7.0,train,60,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
000000000000000005f2_0,0.0,KBang,735.0,0,0,0,14.457306353684338,108.33494811412469,0,0,737,13.64907,3459.4536567032337,2743.57232635276,0.5356759559041193,7.0,train,64,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000361_0,0.0,KBang,472.0,0,0,0,14.11936000304578,108.58665545038956,0,0,471,3.8255582,2848.0301147326827,2458.056594692424,0.0761794182758035,8.0,train,33,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
00000000000000000482_0,0.0,KBang,849.0,0,0,0,14.360017686900251,108.59123494717149,0,0,849,6.6715174,3001.057534530759,2400.0190920016626,0.7855749017754674,8.0,train,99,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
0000000000000000006a_0,0.0,KBang,655.0,0,0,0,14.154395160022702,108.66022615867035,0,0,651,14.348331,2859.5566610470414,2490.159314288234,0.4177086395235492,9.0,train,70,"{""type"":""MultiPoint"",""coordinates"":[]}",,,,,,,,,,
