system:index,B11,B12,B2,B3,B4,B8,NBR,NDVI,district,elev,label,label_std,label_test_period,label_train_period,lat,lon,loss_any_2001_2024,loss_first_year,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,rand,slope,split,treecover2000,.geo
000000000000000002a4_0,2960.0,2264.0,720.0,1004.0,1116.0,2710.0,0.08966626,0.41662312,MangYang,218,0,0,0,1,13.67833261335471,108.33507296895415,1,2012,218,3.370558,2483.8519527492754,2070.232818392862,0.10512027204245922,3.370558,train,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000258_0,3199.0,2135.0,570.0,921.0,917.0,2879.0,0.14838453,0.5168598,MangYang,230,0,0,0,0,13.687224060855284,108.34773681594595,0,0,230,3.986486,2483.8519527492754,2070.232818392862,0.22688507297025418,3.986486,train,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001d6_0,3827.5,2758.0,1021.0,1342.5,1590.0,2880.5,0.021725636,0.28867018,MangYang,235,0,0,1,0,13.693961762547039,108.23724475094261,1,2020,235,5.8628073,2456.6312268701563,2052.0138249042984,0.18587597281680202,5.8628073,train,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000270_0,3601.0,2697.5,732.0,1049.0,1308.0,2870.0,0.030983387,0.3738631,MangYang,241,0,0,0,1,13.695308411065179,108.346657713491,1,2014,241,8.074273,2483.8519527492754,2070.232818392862,0.2868497055344015,8.074273,train,71,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0,4202.0,3374.5,796.0,1104.5,1494.5,2774.0,-0.0976661,0.29975402,MangYang,248,0,0,0,1,13.695580416229442,108.3463901674278,1,2014,248,5.782694,2483.8519527492754,2070.232818392862,0.21003166618887215,5.782694,train,52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0,3811.0,2616.0,1050.0,1260.0,1466.0,2809.0,0.035576038,0.31415203,MangYang,257,0,0,0,1,13.700971469403058,108.37441561754872,1,2013,257,7.6164613,2511.621006313942,2162.1681395120972,0.3251431050264304,7.6164613,train,41,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002fd_0,2708.0,1901.0,569.0,840.0,856.0,2996.0,0.22360629,0.5555556,MangYang,259,0,0,0,1,13.712021121813496,108.24290335017942,0,2016,262,3.408309,2777.4454072797907,2342.4838604394245,0.4182555437787453,4.851146,train,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000024c_0,4024.0,3158.0,708.0,926.0,1285.0,2379.0,-0.14068991,0.2985808,MangYang,359,0,0,0,1,13.728996919523965,108.36363797030252,0,2014,359,8.578158,2511.621006313942,2162.1681395120972,0.7516349252764364,8.578158,train,21,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9_0,3707.0,2981.5,789.0,991.5,1167.5,2687.5,-0.051861,0.39429313,MangYang,387,0,0,0,1,13.722798769059676,108.35905847352063,1,2015,387,5.107887,2511.621006313942,2162.1681395120972,0.49105908083137295,5.107887,train,31,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000df_0,2611.0,2077.0,640.0,1003.0,1210.0,2361.0,0.06399279,0.32231867,MangYang,431,0,0,0,1,13.708516268385488,108.3579793710657,0,2015,431,7.598676,2511.621006313942,2162.1681395120972,0.41095693894440966,7.598676,train,27,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000276_0,2285.5,1536.5,456.0,672.0,822.0,2312.0,0.20150708,0.47543076,MangYang,479,0,0,0,1,13.710670014194303,108.25395300258987,1,2010,479,5.9990163,2730.454711684454,2278.9206159417986,0.017817328084430595,5.9990163,train,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000170_0,2027.0,1218.0,440.0,658.0,574.0,2606.0,0.3629707,0.63899374,MangYang,483,0,0,0,1,13.727650271005825,108.2614978015723,1,2008,483,7.9030786,2730.454711684454,2278.9206159417986,0.011729355913700279,7.9030786,train,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000214_0,2126.5,1612.5,518.0,732.0,984.5,1901.0,0.08211186,0.3176226,MangYang,483,0,0,0,1,13.714981964912983,108.25233880800852,1,2009,483,6.6255984,2730.454711684454,2278.9206159417986,0.2033771066812411,6.6255984,train,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,1541.0,732.0,387.0,587.0,362.0,3575.0,0.66008824,0.81610364,MangYang,484,0,0,0,1,13.72791781706903,108.26042315821842,1,2009,486,5.0024557,2730.454711684454,2278.9206159417986,0.5351610373348981,4.165193,train,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ca_0,2383.5,1509.5,686.5,963.5,972.0,2498.0,0.24666251,0.43976945,MangYang,493,0,0,0,0,13.736002167278928,108.27120080546459,0,0,493,12.204934,2730.454711684454,2278.9206159417986,0.3926631141459672,12.204934,train,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000194_0,2259.0,1438.0,413.0,660.0,631.0,2508.0,0.27116066,0.5979611,MangYang,494,0,0,0,1,13.730076021978899,108.26688885474593,1,2008,494,4.6273675,2730.454711684454,2278.9206159417986,0.5800475656379247,4.6273675,train,37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,1991.0,1484.0,447.0,677.0,1074.0,2585.0,0.27058247,0.41295436,MangYang,497,0,0,0,1,13.760259677009675,108.18846664451897,1,2017,496,2.660467,3112.0567742195176,2600.9374859346635,0.22564664278773328,2.0854118,train,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000018e_0,1956.0,978.0,361.0,627.0,364.0,2814.0,0.4841772,0.7709251,MangYang,499,0,0,0,1,13.73762082096133,108.28359710639319,1,2006,499,3.9869237,2730.454711684454,2278.9206159417986,0.6467004031423573,3.9869237,train,44,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0,1500.0,721.0,361.0,612.0,455.0,3047.0,0.6173036,0.7401485,MangYang,501,0,0,0,1,13.759720125782207,108.23050704925086,0,2014,501,6.2342763,2659.5984112127558,2256.6868873639964,0.08552519251773638,6.2342763,train,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c9_0,2011.0,993.0,468.0,694.0,439.0,3578.0,0.5655218,0.78142893,MangYang,503,0,0,0,1,13.736002167278928,108.26554220622776,1,2008,503,5.3092303,2730.454711684454,2278.9206159417986,0.7035856132231043,5.3092303,train,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000020e_0,2320.5,1487.5,422.0,611.5,692.0,2442.0,0.24290623,0.5583918,MangYang,504,0,0,0,1,13.743011874134941,108.27200790275526,1,2008,504,1.908947,2730.454711684454,2278.9206159417986,0.4002493646376255,1.908947,train,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ed_0,2351.0,1824.0,432.0,589.0,974.0,1847.0,0.0062653227,0.30946472,MangYang,505,0,0,0,1,13.743279420198153,108.25233880800852,1,2009,505,12.161749,2730.454711684454,2278.9206159417986,0.7579125659676983,12.161749,train,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044_0,2078.0,958.0,486.0,630.0,436.0,3291.0,0.54907036,0.7660317,MangYang,506,0,0,0,1,13.743011874134943,108.25772540208109,1,2009,506,5.309311,2730.454711684454,2278.9206159417986,0.4686921273927743,5.309311,train,95,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000189_0,2712.5,1793.5,524.0,767.0,920.5,2721.5,0.2055371,0.4945085,MangYang,507,0,0,0,1,13.757026828745925,108.27443365372835,1,2010,507,8.43092,2576.006629064679,2170.6907414495013,0.25888742761619854,8.43092,train,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000229_0,1743.0,1432.0,491.0,650.0,1111.0,1521.0,0.030138843,0.15577507,MangYang,507,0,0,0,1,13.74193277168001,108.26931460571899,1,2011,507,2.0853777,2730.454711684454,2278.9206159417986,0.5000463983826031,2.0853777,train,87,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,1874.0,1023.5,326.5,569.0,358.0,3017.0,0.49337953,0.78785187,MangYang,508,0,0,0,1,13.73762082096133,108.2830575551657,1,2006,508,6.7931824,2730.454711684454,2278.9206159417986,0.656143453714199,6.7931824,train,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000305_0,1345.0,651.5,290.0,471.5,298.0,3313.5,0.6713745,0.8349716,MangYang,508,0,0,0,1,13.738967469479467,108.28117135542011,1,2008,508,4.71466,2730.454711684454,2278.9206159417986,0.6493977356280275,4.71466,train,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042_0,2112.0,925.0,472.0,620.0,378.0,3789.0,0.607552,0.8185745,MangYang,509,0,0,0,1,13.74489807388055,108.25826495330854,1,2008,509,0.95474637,2730.454711684454,2278.9206159417986,0.6327965316701967,0.95474637,train,74,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,1926.0,1591.0,433.0,579.0,1048.0,1562.0,-0.00919759,0.19693486,MangYang,509,0,0,0,1,13.740046571934405,108.27335901037446,1,2008,509,10.495756,2730.454711684454,2278.9206159417986,0.4965056568135624,10.495756,train,75,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,2110.5,903.5,399.5,603.5,305.5,3259.0,0.5658859,0.8285875,MangYang,509,0,0,0,1,13.747863376081094,108.2614978015723,1,2009,509,4.6767397,2730.454711684454,2278.9206159417986,0.05142838021141438,4.6767397,train,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
