system:index,district,split,lon,lat,treecover2000,mean_elevation_m,mean_slope_deg,rain_last12m_total_mm,rain_mean_annual_2000_2024_mm,loss_any_2001_2024,loss_first_year,label_train_period,label_test_period,defo,label,risk_baseline,risk_logreg,risk_rf,warn_top5_rf,warn_top10_rf,label_hansen_loss_any
0000000000000000045f_0,KBang,train,108.57506624675166,14.183499712598543,84,469,1.3322111,2894.3183166086674,2468.456626371072,0,0,0,0,0.0,,0.6601281501428767,0.7696454334841004,0.1530225313798656,0,0,0
00000000000000000255_0,KBang,train,108.54622924023904,14.285367876164512,73,686,1.3325211,3283.608837634325,2704.4453318488963,0,0,0,0,0.0,,0.6511152645723202,0.5439378597781191,0.4448992788236593,0,0,0
00000000000000000258_0,KBang,train,108.42981102993566,14.22823341436671,66,672,2.939815,3484.5955844521523,2837.824403122823,1,2014,1,0,0.0,,0.6669546961759799,0.5769465047784391,0.8564962687373868,1,1,1
00000000000000000337_0,KBang,train,108.5599766487868,14.199940418182598,33,574,11.349603,2988.904823511839,2527.354326276477,0,0,0,0,0.0,,0.4399799171550188,0.4171720681302689,0.3115496230318565,0,0,0
00000000000000000247_0,KBang,train,108.32874996366036,14.4106819930695,69,806,4.167796,3774.6228857189417,2999.919869753144,0,0,0,0,0.0,,0.6858968704342481,0.49177519800783404,0.3891465119786776,0,0,0
00000000000000000342_0,KBang,train,108.52440194058242,14.515247912772804,70,1067,3.993927,3063.1103956103325,2477.7017693946955,0,0,0,0,0.0,,0.4610293230644243,0.12763469174151773,0.4224349812485826,0,0,0
000000000000000003c4_0,KBang,train,108.47993578487744,14.339537035761776,32,904,4.8638983,3410.552547223866,2766.438409104254,0,0,0,0,0.0,,0.4793839711498593,0.17112624088740974,0.25135041171936784,0,0,0
0000000000000000018d_0,KBang,train,108.4616088795478,14.29345222637441,63,574,8.291047,3299.3934005498886,2718.926994363391,1,2009,1,0,0.0,,0.6111441789836063,0.659549933177843,0.7536555484944258,0,0,1
000000000000000001de_0,KBang,train,108.53140718833735,14.354626633726635,37,849,5.3165812,3057.4028005301952,2452.323266195249,0,0,0,0,0.0,,0.4283310284303309,0.22797642083915312,0.35498092850541896,0,0,0
00000000000000000251_0,KBang,train,108.53167919350165,14.200747515473273,53,500,5.1170545,3132.610942572356,2663.5936415282367,0,0,0,0,0.0,,0.5953932168604426,0.6248263047029836,0.14212236101377043,0,0,0
00000000000000000473_0,KBang,train,108.60875475521046,14.255456226298,99,681,4.6805897,2920.2753743231297,2494.9070353260336,1,2012,1,0,0.0,,0.6184484863815567,0.5765970209703164,0.6494687741535521,0,0,1
000000000000000004e7_0,KBang,train,108.52278328690002,14.398557697305185,32,879,4.7235246,3057.4028005301952,2452.323266195249,0,0,0,0,0.0,,0.4107291652782457,0.1845116484772664,0.20659208503041696,0,0,0
0000000000000000056e_0,KBang,train,108.48451528165936,14.228772965594178,30,661,4.6273675,3116.021737858653,2587.275775269555,0,0,0,0,0.0,,0.4852899575828067,0.3522853441943943,0.34362803114034485,0,0,0
00000000000000000613_0,KBang,train,108.5252090378731,14.085131943359528,60,715,6.007746,3250.9848297685385,2783.4902848679035,0,0,0,0,0.0,,0.5681109147176004,0.33985234150173566,0.5272658049318125,0,0,0
000000000000000000da_0,KBang,train,108.47966823881426,14.217455767120535,77,658,3.8215122,3116.021737858653,2587.275775269555,0,0,0,0,0.0,,0.6166297843593826,0.5468456243888073,0.4445184854907488,0,0,0
000000000000000000e3_0,KBang,train,108.59123494717146,14.045789294764973,40,504,5.717402,2340.994156158529,2080.859696369998,1,2001,1,0,0.0,,0.382244018778783,0.4472983134525591,0.7991700168483657,0,1,1
0000000000000000029b_0,KBang,train,108.6313936112588,14.34330943525299,99,842,6.237587,2904.3306356593966,2447.77248901683,0,0,0,0,0.0,,0.5552920490441026,0.38283082342320873,0.174269534530247,0,0,0
000000000000000002d1_0,KBang,train,108.53248629079232,14.14549925342108,70,518,6.737178,3335.206618718803,2843.7770705979806,1,2003,1,0,0.0,,0.6629528013571346,0.6874929852653316,0.7042554564307807,0,0,1
000000000000000005d9_0,KBang,train,108.50041643601593,14.15062276053149,33,537,2.6627855,2927.8332602009177,2497.137565198986,0,0,0,0,0.0,,0.505026686834171,0.46816837687424845,0.2553748203110895,0,0,0
00000000000000000261_0,KBang,train,108.43493007794504,14.39720658968599,84,976,2.8702855,3307.1987401247025,2646.067406310553,0,0,0,0,0.0,,0.5885858774810793,0.27348541733853815,0.36193729083089765,0,0,0
00000000000000000345_0,KBang,train,108.58180394844344,14.293724231538672,60,737,21.30282,3002.574410483241,2569.066161002828,1,2001,1,0,0.0,,0.3896114558251011,0.38703052498083984,0.8343515684960527,1,1,1
000000000000000005f2_0,KBang,train,108.33494811412469,14.457306353684338,64,737,13.64907,3459.4536567032337,2743.57232635276,0,0,0,0,0.0,,0.5591402400808299,0.5362955921372805,0.5947854906886842,0,0,0
00000000000000000361_0,KBang,train,108.58665545038956,14.11936000304578,33,471,3.8255582,2848.0301147326827,2458.056594692424,0,0,0,0,0.0,,0.4986015671136579,0.5268954080674965,0.17141082182795728,0,0,0
00000000000000000482_0,KBang,train,108.59123494717149,14.360017686900251,99,849,6.6715174,3001.057534530759,2400.0190920016626,0,0,0,0,0.0,,0.5709824090726299,0.4907370330476408,0.19895093546133527,0,0,0
0000000000000000006a_0,KBang,train,108.66022615867035,14.154395160022702,70,651,14.348331,2859.5566610470414,2490.159314288234,0,0,0,0,0.0,,0.4634860283058733,0.46691669548993764,0.29467194652158474,0,0,0
000000000000000000c0_0,KBang,train,108.53545159299286,14.181341507688677,66,519,6.7372622,2927.8332602009177,2497.137565198986,0,0,0,0,0.0,,0.5672112028698417,0.6443974311299747,0.43435064169086657,0,0,0
0000000000000000023e_0,KBang,train,108.55781844387694,14.141459307866656,33,558,6.722222,2848.0301147326827,2458.056594692424,0,0,0,0,0.0,,0.44947207252515725,0.4354791300436125,0.3657598176492078,0,0,0
00000000000000000257_0,KBang,train,108.61710665148355,14.283749222482117,60,756,9.93321,2920.2753743231297,2494.9070353260336,0,0,0,0,0.0,,0.45213552698494486,0.3002001553776734,0.3244624858469439,0,0,0
00000000000000000386_0,KBang,train,108.56482815073296,14.4300880008541,37,856,14.975716,3010.9200901687145,2435.0759028388934,0,0,0,0,0.0,,0.34552045307660534,0.1831747248413954,0.3042618483471935,0,0,0
0000000000000000040f_0,KBang,train,108.47966823881426,14.281863022736507,48,801,8.742621,3299.3934005498886,2718.926994363391,1,2015,1,0,0.0,,0.499288036514735,0.30270169293127297,0.6373537802354123,0,0,1
